1278705043,@starsportsindia chillana h toh india-india chillana pak-pak toh murgi bhi karti h.. #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278705139,rt @blogonworkers: dillime bhajapa dresimga ruma me baithe baithe rana-auta ho jane vali khilada़i ho gayi! lolava! haya maim namaja़ padha़ ke atihu~! #aaps…,"
Overtly Aggressive
",Political Aggression
1278705141,"rt @trending_india: pakistana to jita nahi sakta, lekina koito indiya ko haravo bc ~ paki phaॅnsa #indvssa","
Overtly Aggressive
",Sexual Aggression
1278705142,koi bata nahim veladana...... dhavana| #indvssa,"
Non Aggressive
",-
1278705143,rt @iamyoge: abd ab bowlers ki abcd nikaal raha hai #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278705144,sarhad par se khabar a rahi hai ki padosi mulk wale khud ko aag lga rahein hain xd ab ye khushi hai ya gum ? confusion confusion ! #indvsuae,"
Non Aggressive
",-
1278705145,"rt @drunkvinodmehta: agara bharata maica hara to kala dil‍li me dharana du~ga, paka maica hara to is‍lamabada me dharana du~ga ~ kejarivala #indvspak http://…","
Covertly Aggressive
",Political Aggression
1278705147,are o kaka apake ghara adha kilo hiroina mile to vo saja nahim hogi jo saja apake ghara adha kilo biफ़ milane se hogi #beefban,"
Covertly Aggressive
",Political Aggression
1278705149,"@gurmeetramrahim tu satha rahe to dila bhi gunagunata hai jo tu nahim to dhaड़kana bhi zora lagati hai #msg3successfulweeks""","
Non Aggressive
",-
1278705150,jo sarakari nahim hota vahi to asarakari hota hai| #aapsweep,"
Covertly Aggressive
",Political Aggression
1278705151,thoko tali...imdiya jita gaya| #indvssa,"
Non Aggressive
",-
1278705152,"@arvindkejriwal bata pe nahim tikate| bola tha dilli mem balatkara rokege.. aura bhajapa ke satha unhomne jo kiya, vo kya hai ? #aapsweep #aapkidilli","
Overtly Aggressive
",Political Aggression
1278705153,"rt @nbt_sports: #indvssa parnela ke gemdom para dhoni ne jada़e lagatara tina cauke, bharata ka skora 48 ovara ke bada danadanata hua 297/6 http://t.co/b2scc…","
Non Aggressive
",-
1278705154,"nitiza, mulayama aura mamata ki choड़iye, modi ki hara aura kejari ki jita ne cina aura pakistana ka bhi dila baग़ baग़ kara diya hai | #aapsweep #delhidecides","
Covertly Aggressive
",Political Aggression
1278705155,rt @sonusachdeva07: #msg3successfulweeks izka ki abo hava ka to pata nahi para jabase tuma mile ho mausama accha lagata hai........,"
Non Aggressive
",-
1278705156,#railbudget2015 agamana-pras‍thana ke lie yatriyom ko sms alarta bheja jaega,"
Non Aggressive
",-
1278705508,zetaka-yamsathi relve kargo semtara ubharanyata yenara. -. #sureshprabhu http://t.co/y2sberayyy #railbudget2015 @loksattalive,"
Non Aggressive
",-
1278705509,dilli:24pharavari ko jamtara-mamtara para dharana demge anna hajare #aapsweep #delhidecides #1daytomsg #kiskidilli modi congress kejriwal valentine's day,"
Non Aggressive
",-
1278705510,"rt @yr_conscience: ""bedi sahi kahati hai ki isa bajata mem sabake lie kucha hai. apa dekho apake lie bhi kucha hai..."" #unionbudget2015 http://t.co/32wusmq5lb","
Non Aggressive
",-
1278705511,bhari hamgame ke bica lokasabha mem bhumi adhigrahana bila peza- rukana mata-thakana mata @mvenkaiahnaidu @bjprajnathsingh @narendramodi #landacquisitionbill,"
Non Aggressive
",-
1278705512,"rt @buland_awaaz: eka tarapha rahula baba, jinhe nikammepana se thakana ho jati hai... dusari tarapha aise purusarthi jinake jaja़be ko salama http://t.co/meyji…","
Overtly Aggressive
",Political Aggression
1278705513,rt @ceruleanlineage: india itna acha khel gayi ki saala pata bhi nahin chala! lol. #peptalk #indvsuae,"
Covertly Aggressive
",General Non-threatening Aggression
1278705514,"adaraniya pradhanamamtri ji, kama bolem, kama bole!! bhasanabaji se janata aura samarthaka uba cuke haim!! #delhidecides","
Overtly Aggressive
",Political Aggression
1278705515,aura ye amala ka dibba bamda kiya zami ne .... yoo maja a gaya bc #indvssa #cwc15,"
Non Aggressive
",-
1278705516,#beefban - kya din aa gaye hai! govt jaan bachaana chahti hai... aur janta jaan lena chahti hai ! tut tut tut !,"
Overtly Aggressive
",Political Aggression
1278705517,@supriya_sule are caci basa maharastra bamgala bihara karate rahogi ki deza ka bhi socogi ? #railbudget2015 #railwaybudget,"
Covertly Aggressive
",Political Aggression
1278705518,"rt @incindia: sureza ""prabhu"" ki lila aparampara! ama adami ki jeba para phira kiya vara! #railbudget2015 #jumlaexpress http://t.co/cdlc5f8ror","
Overtly Aggressive
",Political Aggression
1278705519,"hama zikharapura ke cite haim, #shikhar para hi jite haim| #indvssa","
Non Aggressive
",-
1278705520,rt @iawoolford: maim bhi acchi khabara sunane vala hu~ #indvssa,"
Non Aggressive
",-
1278705521,@rubikaliyaquat chhutti pe nahi. apani naipi badalavane digvijaya ke pasa gae haim. #rahulonleave,"
Covertly Aggressive
",Political Aggression
1278705522,mere pasamdida umidavara mem se eka karnala devemdra saharavata bijavasana se jita gaye haim. #delhidecides,"
Non Aggressive
",-
1278705523,rt @adityatrivedi_: bhumi adhigrahana bila ke lie jamini lada़ai lada़ne ki taiyari hetu rahula baimkaka gae| taki lada़ai ke pahale masaja se taro taja़a mahasusa …,"
Covertly Aggressive
",Political Aggression
1278705524,"shri sanjay manjrekar, aaho gappa basa ho! kiti bolatay! shant raha ki! #indvsuae","
Non Aggressive
",-
1278705525,rt @arun_sp: sutrom ke anusara imdiya ka aisa paraphaॉramemsa dekha kara dusare grupa ki tima ne apane pajame mem muta diya haim #indvssa,"
Non Aggressive
",-
1278705526,"philemdara ne cautha ovara medina phemka, bharata ka skora eka viketa para 9 rana| dekhem laiva skorah http://t.co/ng1zpsvpl3 #cwc15 #indvssa","
Non Aggressive
",-
1278705527,aja laga jaisa 15 agasta hai phira laga jaise holi hai phira aisi feelings ai jaise aja mera ba.de hai. simply awsm mix feelings.. #aapsweep @arvindkejriwal,"
Non Aggressive
",-
1278705528,@gurmeetramrahim #blockbustermsg #papa ji apako bhi zivaratari ki bahuta bahuta badhai ho.,"
Non Aggressive
",-
1278705529,mainu pyaar na mile marjawah ! :p #indvspak,"
Non Aggressive
",-
1278705530,#railbudget2015 kucha to zarma karo virodha karane ke lie bhi tarka lao kutarka nahim pahali bara aisa bajata jisame aisa laga deza ka bajata hai kisi parti ka nahi,"
Overtly Aggressive
",General Non-threatening Aggression
1278705531,@reliancemobile mohit sharma - jo apne ball se mohde opposition ke batsmen ko #yehapnagamehai #cwc15 #indvssa,"
Non Aggressive
",-
1278705532,2 bara cutiya banane ka anokha rikaॉrda dillivalo ne banaya| #delhidecides,"
Overtly Aggressive
",Geographical Aggression
1278705533,"live dilli vidhanasabha cunava natije: 15 sitom para aap, 7 para bijepi+ aura 2 para kamgresa ko badha़ta http://t.co/zrc8gdfex0 #delhidecides","
Non Aggressive
",-
1278705534,"rt @victorvibhu: ""@raydeep: “beta, tumase na ho paega|"" #rahulonleave"" http://t.co/oeexrex3zb","
Covertly Aggressive
",General Non-threatening Aggression
1278705535,"rt @sushilkarwa: #thankyoupm for @sureshpprabhu #railbudget2015 #uhf rela bajata ki khasa ba 4. hindi, amgreji aura urdu mem i-tikata","
Non Aggressive
",-
1278705536,now guys don't tell me that modi se milate hi bukhara a gaya #aapsweep,"
Covertly Aggressive
",General Non-threatening Aggression
1278705537,kaॉmemtri baॉksa mem zoeba akhtara ka muha dekhate hi banata hai |||| #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278705538,"apavalom ko bahuta bahuta bhadhai , sirpha sacai hi kama ayyai #aapsweep #kiskidilli #delhidecides #aapkidilli","
Non Aggressive
",-
1278705539,"swatch bharat abhiyaan ki shurvaat aaj dilli se hui hai! bharat vasiyon se nivedan hai, kripaya jhaadu chalaye! #aapsweep @aamaadmiparty","
Overtly Aggressive
",Political Aggression
1278705540,rt @madaan10: : @gurmeetramrahim mainu h aas teri tu aasra h mera teri yaad vich bite hr sham te swera ❤️papa❤..#blockbustermsg,"
Non Aggressive
",-
1278705541,"#beefban isse maharastra main koi fayda ho ya nahi,lekin twitter ke chutiyon ko tweet naa ka mauka to mil gaya.","
Overtly Aggressive
",Curse / Abuse
1278705542,"amita zaha ke bete ki zadi mem laddu khane pahumce ki nahim modiji -the nation wants to know from ""bazaaru"" media #aapsweep #feb10witharnab","
Covertly Aggressive
",Political Aggression
1278705543,"aaj ashish nehra bahut khush hoga, pichle baar ka badla le liya dhoni ne 😁 #indvssa #worldcup2015","
Non Aggressive
",-
1278705544,kamgresa mukta bharata aura bijepi mukta dilli ..! #delhidecides #aapkidilli,"
Covertly Aggressive
",Political Aggression
1278705545,misbah: pongada dei enala mudila na veetuku poraen bye #indvspak #indwins,"
Non Aggressive
",-
1278705546,itane imta patthara jama ho gae ki 15 pharavari ko ya to dhoni ka ghara girega ya mera ghara banega 3:) #indvspak,"
Non Aggressive
",-
1278705547,dhoni: kala pata lagega ke amde aura patthara kisake ghara pe calemge. phati pada़i hogi misbah: amde aura patthara jhelem hai. dara to hamem modi ka hai #indvspak #wc,"
Covertly Aggressive
",General Non-threatening Aggression
1278705548,sabhi exit polls galata sabita hue|||| kisi ne nahi dikhaya tha ki bijepi 3 sito para simata sakati hai| #kiskidilli #delhidecides http://t.co/zepj72cmg8,"
Covertly Aggressive
",Political Aggression
1278705549,"behati hawa sa tha woh, udati patang sa tha woh , kahaan gaya use dhundon #whereisrahul #rahulonleave","
Non Aggressive
",-
1278705550,"subrata raya sahara hue besahara, miraja kaipitala ne rada kiya sahara loan deal http://t.co/kqzgaiyoxi #saharaloandeal #mirachcapital #aapsweep","
Non Aggressive
",-
1278705551,@sambitswar ab samarthan tho bjp bee degi...bina puche @aapsweep,"
Covertly Aggressive
",Political Aggression
1278705552,@fullymunish @malkeetkalsi91 pitai shuru ho chuki hai .. #indvssa,"
Non Aggressive
",-
1278705553,rt amitachawla12: rt anchal_taneja: gurmeetramrahim #msgincinemas #mustwatchmsg meri zindagi ae..ik teri aas te..,"
Non Aggressive
",-
1278705554,"jalda hi asarama para फ़ilma banegi ""nama mem rama aura bagala mem chori"" #msg100croreclub #msgthefilm #indvssa #pakvwi #pakistan #india","
Overtly Aggressive
",Communal Aggression
1278705555,"rt @i_aakanksha: @sardanarohit eka trena 10 janapatha se nonastopa italy ke lie calai jae, rastriya bahu ke pihara ane-jane ke lie| #prabhukirail #…","
Covertly Aggressive
",Political Aggression
1278705556,@gurmeetramrahim #blockbustermsg pitag dhan dhan satguru tera hi aasra g,"
Non Aggressive
",-
1278705557,307 ye bhosaड़i valom ke lie bahuta haim #indvssa,"
Overtly Aggressive
",General Non-threatening Aggression
1278705558,"@gurmeetramrahim #blockbustermsg 󾍛󾁇 eka bara cadha़ jae to utarata hi nahim ☹ ye izka़ bhi kisi gariba ke karja jaisa hai""","
Non Aggressive
",-
1278705559,koi cahe kitana bhi kathora kyom ho kala hamane patthara dila pimghalate dekha. msg muvi ke jariye sareama imsaniyata ki lau ko jalate dekha. #blockbustermsg /.,"
Overtly Aggressive
",General Non-threatening Aggression
1278705560,rt @haldiramc: #aapsweep isa bica kamgresa ne kaha hai ki agara apa unhe samarthana de to ve sarakara banane ka dava peza kara sakati hai|,"
Non Aggressive
",-
1278705561,"raina: 51 kohli: 101. bas ab chaand doooor nahin. eid ka nahin, bharat ka. #indvspak #cwc15","
Covertly Aggressive
",Communal Aggression
1278705562,"amitabh, akshara dan dhanush di promosi shamitabh amitabh bachchan, dhanush dan akshara sibuk dengan promosi... http://t.co/pz0hqaabwd","
Non Aggressive
",-
1278705563,@aamaadmiparty ki jabardasta jita ke bica @bjp4india ke tina ummidavarom ne sitem nikalim http://t.co/izd1iengbs #aapsweep http://t.co/vgl1amutmz,"
Non Aggressive
",-
1278705564,aba ye aphavaha kauna phaila raha hai? ki aja viketa kipimga anuska zarma karegi| #indvssa ;),"
Non Aggressive
",-
1278705565,#aapsweep ye hara usa nirbhaya ki ki hai aura jita usake balatkariyom ki| ye hara hai atamkavinazakaki aura jita hai aphajala ko dezabhakta manane valom ki|,"
Covertly Aggressive
",General Non-threatening Aggression
1278705566,rt @aajtak: kya hai varlda kapa mem sautha aphrika se jita ka 'sacina mamtra'... dekhem live #sachinisback #indvssa #cwc15 #ajataka http://t.co/vrwkzao…,"
Non Aggressive
",-
1278705567,"bhul kr apko jaege khan,ek pal zmeen pr zee payege khan, apse muskuraht h jindgi m,bin apke khus rh paege khan papag 👏👏👏👏👏 #blockbustermsg""""","
Non Aggressive
",-
1278705568,rt @ddnewshindi: atulya bharata ke lie atulya rela ki zuruata karane ka prastavah rela mamtri #railbudget2015,"
Non Aggressive
",-
1278705569,@gurmeetramrahim #blockbustermsg #mustwatchmsg apa ko bhi mere malika,"
Non Aggressive
",-
1278705570,@gurmeetramrahim #blockbustermsg papag ap ko bhe bhut-bhut mubarak ji,"
Non Aggressive
",-
1278705571,rt insanyogta1: gurmeetramrahim #blockbustermsg #mustwatchmsg dhan dhan satgurutera hi aasra &amp; thanku for blessing mere khud khuda satguru…,"
Non Aggressive
",-
1278705572,"haha #nawazwrongnumber trending, kal wali haar se dhyan bhatkane ka tarika ye bhi achcha hain. #indvspak","
Covertly Aggressive
",General Non-threatening Aggression
1278705573,rt @abpmajhatv: mahilamcya suraksesathi mahila dabyata sisitivhi basavinara: relvemamtri http://t.co/cwtdjdtonx #railbudget2015 @sureshpprabhu,"
Non Aggressive
",-
1278705574,"parnell to ghanta ho gaya hai aaj, jo aa raha baja raha hai😜 #indvssa #wewontgiveitback #worldcup2015","
Overtly Aggressive
",General Non-threatening Aggression
1278705575,afridi ab toh tu gaya beta @imvkohli teri aisi bajayega na...ab tu dekh #indvspak #bleedblue #wewontgiveitback,"
Overtly Aggressive
",General Non-threatening Aggression
1278705576,kismat badi ......cheez hai saali kabhi bhi palat jaati hai 😂 #indvssa,"
Overtly Aggressive
",Curse / Abuse
1278705577,@gurmeetramrahim #blockbustermsg ok pitaji ashirvaad bnayi rakhna ji,"
Non Aggressive
",-
1278705578,@gurmeetramrahim #msg100croreclub #blockbustermsg matt heen nu bakhso gyan pita kra sift peera deya peer teri,"
Non Aggressive
",-
1278705579,"jo maza na ishq mein, na pyar mein woh maza hai, pakistan ki haar mein, #indvspak","
Overtly Aggressive
",Geographical Aggression
1278705580,"#msg ka primiyara: rama rahima bole- philma mem kucha apattijanaka nahim hai, virodha deza ke hita mem nahim http://t.co/nbkld3bduz #msgincinemas","
Non Aggressive
",-
1278705581,"rt @1stindianews: 2015-16 mem 1,00,011 karoda़ rupaye ka yojana bajata #railbudget2015","
Non Aggressive
",-
1278705582,pakistana tima ke satha agala praॉblama ye hai ki varlda kapa jita bhi jate haim to duguni gali milegi| #jayahinda #indvspak,"
Non Aggressive
",-
1278705583,kya pata uae vale batsman bada mem utarate ho.... #indvsuae,"
Covertly Aggressive
",General Non-threatening Aggression
1278705584,ab khatam bhi karo yaar #indvsuae,"
Non Aggressive
",-
1278705585,dilli mem modi pasta aura kejaru jabaradasta! #5saalkejriwal #aapsweep #aapkidilli http://t.co/yvuma9t8ss,"
Overtly Aggressive
",Political Aggression
1278705586,"woh maza ishq mein na pyaar mein, joo pakistan ki haar mein. #indwins #indvspak http://t.co/i1y1npelr5","
Overtly Aggressive
",Geographical Aggression
1278705587,umpire nahi chahta ke itni jaldi sab khatam ho jaye :p #indvsuae,"
Covertly Aggressive
",General Non-threatening Aggression
1278705588,#indvssa live: bharata ne saupha aphrika ko diya 308 rana ka laksya http://t.co/etz3qmn3kr,"
Non Aggressive
",-
1278705589,rt @anshuman1tiwari: mala dhulai ke bajara mem relave sala dara sala pichada़i| 1995 mem his‍sa 53 phisada tha aba 31 phisada @aajtak #railbudget2015 #prabhu…,"
Covertly Aggressive
",Political Aggression
